0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
13728;# doc = konzerty.2.txt;;;;;;;;;;;;;;;;
13729;# speaker =  от;;;;;;;;;;;;;;;;
13730;# sent = 1065;;;;;;;;;;;;;;;;
13731;;ј;ј;CONJ;;;_ј_ чЄ тебе затирать;а;;;;;;CONJ;ј;CONJ;ј
13732;;чЄ;„≈;ADVPRO;distort;;ј _чЄ_ тебе затирать ,;Є;ч;;;;;ADVPRO;„≈;S n - nonflex -;≈
13733;;тебе;“џ;SPRO sg 2p - dat;;;ј чЄ _тебе_ затирать , €;е;б;е;т;;;SPRO;“џ;SPRO sg 2p - dat;џ
13734;;затирать;«ј“»–ј“№;V ipf - - inf - -;;;ј чЄ тебе _затирать_ , € тут;ь;т;а;р;и;т;V;«ј“»–ј“№;V ipf - - inf - -;№
13735;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
13736;;€;я;SPRO sg 1p - nom;;;тебе затирать , _€_ тут собираюсь восьмого;€;;;;;;SPRO;я;SPRO sg 1p - nom;я
13737;;тут;“”“;ADV -;;;затирать , € _тут_ собираюсь восьмого числа;т;у;т;;;;ADV;“”“;ADV -;“
13738;;собираюсь;—ќЅ»–ј“№—я;V ipf praes sg indic - 1p;;;, € тут _собираюсь_ восьмого числа на;ь;с;ю;а;р;и;V;—ќЅ»–ј“№—я;V ipf praes sg indic - 1p;я
13739;;восьмого;¬ќ—№ћќ…;ANUM - gen sg plen n -;;;€ тут собираюсь _восьмого_ числа на концерт;о;г;о;м;ь;с;ANUM;¬ќ—№ћќ…;A - gen sg plen m -;…
13740;;числа;„»—Ћќ;S n inan gen sg;;;тут собираюсь восьмого _числа_ на концерт  анцлера;а;л;с;и;ч;;S;„»—Ћќ;S n inan gen sg;ќ
13741;;на;Ќј;PR;;;собираюсь восьмого числа _на_ концерт  анцлера сходить;а;н;;;;;PR;Ќј;PR;ј
13742;;концерт; ќЌ÷≈–“;S m inan acc sg;;;восьмого числа на _концерт_  анцлера сходить .;т;р;е;ц;н;о;S; ќЌ÷≈–“;S m inan acc sg;“
13743;; анцлера; јЌ÷Ћ≈–;S m anim gen sg;;;числа на концерт _ анцлера_ сходить .;а;р;е;л;ц;н;S; јЌ÷Ћ≈–;S m anim gen sg;–
13744;;сходить;—’ќƒ»“№;V ipf - - inf - -;;;на концерт  анцлера _сходить_ .;ь;т;и;д;о;х;V;—’ќƒ»“№;V ipf - - inf - -;№
13745;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13746;;;;;;;;;;;;;;;;;
13747;# sent = 1066;;;;;;;;;;;;;;;;
13748;# speaker = я;;;;;;;;;;;;;;;;
13749;# sent = 1067;;;;;;;;;;;;;;;;
13750;;–азвивай;–ј«¬»¬ј“№;V ipf - sg imper - 2p;;;_–азвивай_ .;й;а;в;и;в;з;V;–ј«¬»¬ј“№;V ipf - sg imper - 2p;№
13751;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
13752;;;;;;;;;;;;;;;;;
13753;# sent = 1068;;;;;;;;;;;;;;;;
13754;# speaker =  от;;;;;;;;;;;;;;;;
13755;# sent = 1069;;;;;;;;;;;;;;;;
